period,actual,forecast,lower_ci,upper_ci,sigma_residual,in_ci,n_train,Country,alpha
2019-03-01,2.5430244366514643,2.4580314115583293,1.934904269646509,2.9811585534701495,0.26690650748594374,True,254,Norway,0.01743328822199989
2019-04-01,2.599591649733668,2.4812586440678004,1.9590606965619646,3.003456591573636,0.2664324199959115,True,255,Norway,0.01743328822199989
2019-05-01,2.2585001118798687,2.5584713455320562,2.037190379593291,3.0797523114708216,0.26596456366064025,True,256,Norway,0.01743328822199989
2019-06-01,2.23474105754482,2.308929254653232,1.7869792670025684,2.8308792423038955,0.26630590754102546,True,257,Norway,0.01743328822199989
2019-07-01,2.3523662721433247,2.312909263438768,1.7917041472966382,2.834114379580898,0.2659258640736919,True,258,Norway,0.01743328822199989
2019-08-01,2.148628248985318,2.3627809971655047,1.8425798131334252,2.882982181197584,0.2654136444013054,True,259,Norway,0.01743328822199989
2019-09-01,2.1792337242596105,2.2200224170094467,1.6998601594520824,2.740184674566811,0.26539378359007504,True,260,Norway,0.01743328822199989
2019-10-01,2.3033040508927627,2.2836283416267578,1.7643083452728905,2.802948337980625,0.2649640505898053,True,261,Norway,0.01743328822199989
2019-11-01,2.3083106286376776,2.2909812357753885,1.7726427423522595,2.8093197291985175,0.2644632745865317,True,262,Norway,0.01743328822199989
2019-12-01,2.0818113293961993,2.283427685192236,1.7660358043559337,2.8008195660285384,0.2639803001062384,True,263,Norway,0.01743328822199989
2019-01-01,0.5141872464715647,0.28539192671041563,-0.09617272819289552,0.6669565816137268,0.194679421618481,True,252,Switzerland,0.01743328822199989
2019-02-01,0.3789110876481594,0.5012126016246077,0.11942781219502596,0.8829973910541894,0.19479173721611798,True,253,Switzerland,0.01743328822199989
2019-03-01,0.49139568591991534,0.37602640638133655,-0.0053318315779360415,0.7573846443406091,0.19457410491589527,True,254,Switzerland,0.01743328822199989
2019-04-01,0.5057437035214107,0.48008387734740954,0.09919697756693724,0.8609707771278818,0.194333621834309,True,255,Switzerland,0.01743328822199989
2019-05-01,0.6079580053530265,0.4890771619407457,0.10891785997408243,0.8692364639074089,0.19396239163847465,True,256,Switzerland,0.01743328822199989
2019-06-01,0.7408023685887777,0.5793663605283359,0.1996523948375606,0.9590803262191112,0.19373517507765992,True,257,Switzerland,0.01743328822199989
2019-07-01,0.44058262034338824,0.7003653483205285,0.320846839021094,1.0798838576199632,0.19363545059655593,True,258,Switzerland,0.01743328822199989
2019-08-01,0.39686109275391956,0.42695861013181663,0.046875982665157856,0.8070412375984755,0.1939232712767694,True,259,Switzerland,0.01743328822199989
2019-09-01,0.3791361120368819,0.3882938507436259,0.008925253481210926,0.7676624480060408,0.19355896345791354,True,260,Switzerland,0.01743328822199989
2019-10-01,0.20361522763696627,0.37119350279794583,-0.007457262638525919,0.7498442682344175,0.19319271600050852,True,261,Switzerland,0.01743328822199989
2019-11-01,0.41218410421661744,0.21256869073308193,-0.1658516009422406,0.5909889824084045,0.19307512518610218,True,262,Switzerland,0.01743328822199989
2019-12-01,0.3712437164488769,0.4029738048521056,0.02441290990664402,0.7815346997975672,0.19314686286661473,True,263,Switzerland,0.01743328822199989
